#eta  dep  383811-384051  384052-384237  384238-384444  384445-384949  384950-385152  385153-385382  385383-385531  385532-385835  385836-385985  385986-386477  386478-386628  386629-386851  386852-388487
22    3    1.01429        1.01576        1.01736        1.01906        1.02074        1.02243        1.02408        1.02574        1.02707        1.02812        1.02933        1.03066        1.03197
22    4    1.01427        1.01574        1.01734        1.01904        1.02072        1.02241        1.02406        1.02572        1.02705        1.0281         1.02931        1.03064        1.03195
22    5    1.01428        1.01575        1.01735        1.01905        1.02073        1.02242        1.02407        1.02573        1.02706        1.02811        1.02932        1.03065        1.03196
22    6    1.01276        1.01424        1.01583        1.01753        1.01921        1.02089        1.02254        1.0242         1.02552        1.02657        1.02778        1.02911        1.03041
23    1    0.949956       0.954205       0.95877        0.963658       0.96853        0.973418       0.978231       0.983061       0.986945       0.990016       0.993601       0.997519       1.00137
23    2    0.950098       0.954348       0.958913       0.963802       0.968674       0.973563       0.978377       0.983208       0.987093       0.990164       0.99375        0.997668       1.00152
23    3    1.02297        1.02497        1.02712        1.02941        1.03168        1.03396        1.03619        1.03843        1.04022        1.04164        1.04329        1.04509        1.04685
23    4    1.02306        1.02506        1.02721        1.0295         1.03177        1.03405        1.03628        1.03852        1.04031        1.04173        1.04338        1.04518        1.04694
23    5    1.02293        1.02493        1.02708        1.02937        1.03164        1.03392        1.03615        1.03839        1.04018        1.0416         1.04325        1.04505        1.04681
23    6    1.02237        1.02437        1.02651        1.0288         1.03107        1.03335        1.03558        1.03781        1.03961        1.04102        1.04267        1.04447        1.04623
24    1    0.946668       0.951863       0.95746        0.963459       0.969434       0.975441       0.98136        0.987318       0.992111       0.995899       1.00032        1.00517        1.00993
24    2    0.946303       0.951496       0.95709        0.963087       0.96906        0.975065       0.980981       0.986937       0.991728       0.995515       0.999936       1.00478        1.00954
24    3    1.00552        1.00749        1.0096         1.01186        1.01409        1.01634        1.01853        1.02073        1.0225         1.02389        1.02551        1.02729        1.02902
24    4    1.00546        1.00744        1.00954        1.0118         1.01403        1.01628        1.01847        1.02067        1.02245        1.02383        1.02545        1.02723        1.02896
24    5    1.00542        1.00738        1.0095         1.01175        1.01398        1.01623        1.01842        1.02062        1.0224         1.02378        1.0254         1.02718        1.02891
24    6    1.00697        1.00894        1.01106        1.01332        1.01555        1.0178         1.02           1.0222         1.02398        1.02537        1.02699        1.02877        1.03051
25    1    0.941169       0.947766       0.954869       0.962508       0.970125       0.977802       0.985373       0.993004       0.999157       1.00403        1.00972        1.01596        1.02211
25    2    0.941003       0.947599       0.954701       0.962339       0.969954       0.97763        0.985199       0.992829       0.998981       1.00385        1.00954        1.01578        1.02193
25    3    1.00904        1.01202        1.01521        1.01863        1.02202        1.02542        1.02876        1.03212        1.03481        1.03693        1.0394         1.0421         1.04476
25    4    1.00886        1.01184        1.01503        1.01845        1.02184        1.02524        1.02858        1.03194        1.03463        1.03674        1.03922        1.04192        1.04457
25    5    1.009          1.01197        1.01516        1.01858        1.02197        1.02538        1.02871        1.03207        1.03476        1.03688        1.03936        1.04205        1.04471
25    6    1.0135         1.01649        1.0197         1.02313        1.02654        1.02996        1.03331        1.03668        1.03938        1.04151        1.044          1.04671        1.04937
26    1    0.959993       0.969127       0.978986       0.989614       1.00025        1.011          1.02163        1.03238        1.04105        1.04795        1.056          1.06487        1.07362
26    2    0.959979       0.969112       0.978971       0.989599       1.00023        1.01099        1.02161        1.03236        1.04104        1.04793        1.05599        1.06485        1.0736
26    3    0.981321       0.984701       0.988329       0.992222       0.99608        0.999956       1.00376        1.00758        1.01065        1.01308        1.0159         1.01899        1.02202
26    4    0.981329       0.98471        0.988338       0.992231       0.996089       0.999965       1.00377        1.00759        1.01066        1.01309        1.01591        1.019          1.02203
26    5    0.981321       0.984701       0.988329       0.992222       0.99608        0.999956       1.00376        1.00758        1.01065        1.01308        1.0159         1.01899        1.02202
26    6    0.988326       0.99173        0.995384       0.999305       1.00319        1.00709        1.01093        1.01478        1.01787        1.02031        1.02315        1.02626        1.02932
26    7    0.988282       0.991686       0.995339       0.99926        1.00315        1.00705        1.01088        1.01473        1.01782        1.02026        1.02311        1.02622        1.02927
27    1    0.918344       0.927221       0.93681        0.947154       0.957505       0.967973       0.978323       0.988791       0.997253       1.00397        1.01183        1.02047        1.02901
27    2    0.918255       0.927131       0.93672        0.947062       0.957412       0.967879       0.978229       0.988696       0.997157       1.00387        1.01173        1.02037        1.02891
27    3    0.97271        0.977032       0.981679       0.986658       0.991611       0.99659        1.00148        1.0064         1.01036        1.01348        1.01712        1.02111        1.02503
27    4    0.972594       0.976916       0.981562       0.98654        0.991493       0.996471       1.00136        1.00628        1.01024        1.01336        1.017          1.02099        1.02491
27    5    0.972743       0.977066       0.981712       0.986691       0.991645       0.996624       1.00152        1.00644        1.01039        1.01351        1.01715        1.02114        1.02507
27    6    0.982679       0.987046       0.99174        0.99677        1.00177        1.0068         1.01175        1.01672        1.02071        1.02387        1.02754        1.03157        1.03554
27    7    0.982857       0.987225       0.99192        0.99695        1.00196        1.00699        1.01193        1.0169         1.0209         1.02405        1.02773        1.03176        1.03572
28    1    0.727104       0.736115       0.745877       0.756445       0.767049       0.77781        0.788495       0.799333       0.808116       0.815104       0.823304       0.832346       0.841297
28    2    0.727218       0.736231       0.745994       0.756564       0.76717        0.777933       0.788619       0.799458       0.808243       0.815232       0.823434       0.832477       0.841429
28    3    1.04435        1.05458        1.06564        1.07756        1.08949        1.10155        1.11347        1.12552        1.13526        1.14299        1.15203        1.16198        1.1718
28    4    1.0442         1.05443        1.06549        1.07741        1.08933        1.10139        1.11331        1.12536        1.1351         1.14282        1.15187        1.16181        1.17163
28    5    1.04427        1.05451        1.06556        1.07749        1.08941        1.10147        1.11339        1.12544        1.13518        1.14291        1.15195        1.16189        1.17171
28    6    1.05989        1.07027        1.0815         1.0936         1.1057         1.11793        1.13004        1.14227        1.15215        1.15999        1.16917        1.17927        1.18923
28    7    1.05991        1.0703         1.08152        1.09362        1.10572        1.11796        1.13006        1.14229        1.15218        1.16002        1.1692         1.17929        1.18926
29    1    0.997455       1.01222        1.02827        1.04566        1.06315        1.08094        1.09863        1.11661        1.13121        1.14284        1.15651        1.1716         1.18656
29    2    0.997449       1.01222        1.02826        1.04565        1.06315        1.08093        1.09862        1.1166         1.1312         1.14284        1.1565         1.17159        1.18655
29    3    1.03136        1.04663        1.06321        1.0812         1.09929        1.11768        1.13597        1.15456        1.16966        1.18169        1.19581        1.21142        1.22689
